breed,age,weight,chest,neck,back,leg,chest_pre,neck_pre,back_pre,leg_pre
골든 리트리버,24,36,78.7,52,64,36.8,75.80361821,46.98129761,62.66144563,35.45768369
믹스 소형견,24,8.5,48,28,40,16,48.52672268,30.61089874,40.79996986,21.95807492
말티즈,24,5.6,46,25,33,17,41.93047931,26.78095954,34.9858146,17.11105531
말티즈,24,2.6,33,18,30,15,32.57680091,21.42963758,27.41852157,13.35227777
요크셔 테리어,24,3,34,24,27.5,15,32.69996588,20.41587001,28.71014131,15.43723278
푸들 미디엄미니어처,24,4.87,42,25.4,37.3,23.2,40.77301526,25.03666199,35.20800634,20.74347191
푸들 미디엄미니어처,24,3.7,36.5,17.5,25.5,17.5,36.42407821,22.36619805,31.45264505,18.53092881
말티즈,24,2.8,32.8,19.9,28.9,12.8,33.08235246,21.65713507,28.40872518,14.07687101
믹스 중형견,24,14,60,44,54,29,57.44844541,36.50006671,48.30641361,26.30327668
요크셔 테리어,24,2.1,28.5,20,21.5,17.7,28.64011004,17.50082685,25.39400826,13.1494233
푸들 미디엄미니어처,24,4.6,41,23.9,34.5,21.6,39.65622869,23.97729228,34.35924936,19.74916069
닥스훈트,24,8,48.5,27.7,38.5,14.3,46.66134518,31.48092095,41.61024481,12.81193459
말티즈,24,5.2,41,27,33,16,41.40082904,26.62701639,34.46704162,17.11630619
치와와,24,2.8,37.5,24.2,28.7,14.2,33.73048001,22.56436193,24.00922545,14.98945993
골든 리트리버,24,30,70,42,58,30.5,71.96457321,44.36210499,59.50892797,33.48810527
사모예드,24,31,78,47,55,33,79.9223439,53.64383402,61.57327919,34.04892196
시베리안 허스키,24,23,72,43,53,29,71.60522974,47.69532091,55.65948686,30.94120706
푸들 미디엄미니어처,24,6.4,43.5,27.4,38.2,21.8,44.33630178,26.95361583,38.54646232,22.98460023
푸들 미디엄미니어처,24,4.1,43.2,29.3,30.8,19.5,37.9221629,23.48742834,32.7996261,19.72327719
프렌치 불독,24,13.8,62,50.2,45,16,59.19696477,41.39984796,42.35938835,20.13415745
말티즈,24,4.5,34.5,24.6,33.7,13.4,38.66095891,25.75377647,33.27221343,15.7172713
닥스훈트,24,5.5,41.4,28.3,36.7,8.5,41.6237881,27.30424131,36.74825598,11.80645379
티벳탄 스파니엘,24,4,38,23,30,19,37.55800443,23.4522117,33.21265946,16.7840949
푸들 미디엄미니어처,24,5.5,43,25,30,20,41.76535152,25.91157828,36.3305357,21.93831907
믹스 소형견,24,5.9,46,31,37,20,43.00532202,27.54972961,35.71531558,19.29431843
믹스 중형견,24,14,54,29,38,20,57.74129193,36.12954041,47.65793563,26.27444098
시츄,24,8.5,48,31,42,20,48.7429043,31.09536986,41.11131898,20.24885503
말티즈,24,4.5,41.3,26,35.4,15.6,38.66684783,25.70137382,32.50211419,15.82056917
믹스 소형견,24,12,58,40.5,40,25,54.53961534,34.23385397,46.04155367,24.99667793
푸들토이,24,5.5,38.4,20.1,35.8,22.6,42.43511557,25.89356662,36.40083865,21.42478752
웰시 코기,24,9.8,52,30.5,49,17,50.33912285,33.09435706,45.37660895,14.00138541
베드링턴 테리어,24,10.1,54.2,30.3,41.9,27.5,48.2150275,30.68118239,42.43232804,22.66978323
믹스 중형견,24,15,61,34,49,29,59.16252172,37.33001877,49.14130918,26.53251973
포메라니안,24,3.4,39.4,24.2,27.3,14.5,37.76458033,25.07632903,29.65723929,16.77731135
시츄,24,6,40.5,28.4,38.7,17,43.56675488,27.71759449,36.5934209,17.80231686
말티즈,24,3.8,37.5,24.5,28,17.6,36.94866236,24.15683803,31.53283812,15.4877364
믹스 소형견,24,12.5,56.3,35.2,45.5,25.5,55.20649916,34.62713148,45.89019077,24.97664433
벨지안 셰퍼드,24,34,74,42,60,34,76.46843888,47.41421649,58.83546559,34.34128531
시베리안 라이카,24,21.7,70,46,51,25,70.58257712,47.71161485,54.1935434,30.20463199
비숑 프리제,24,5.5,41,24,31,17,41.43764005,26.00792503,36.36101515,18.22384001
믹스 소형견,24,10.5,56.3,28.3,50.4,17.2,52.15154293,33.57982799,43.34181733,23.03728651
요크셔 테리어,24,2.8,35.2,24.1,31,15,31.14406524,19.94946304,27.45800105,14.63297102
믹스 소형견,24,3.9,34.5,22,26,17,37.28393139,23.65681128,31.17949676,16.78427562
말티즈,24,2.2,30,22.5,23,11,30.81790763,19.96077507,25.88595022,12.61915542
말티즈,24,3.6,33.9,22.7,27.8,12.6,35.95027646,23.9554941,30.09275832,14.92573023
차이니즈 크레스티드 독,24,4.2,40.3,25.1,35.4,17.2,38.32393416,26.01219882,28.38493616,17.49904222
믹스 소형견,24,4.5,38,22,35,18,39.07433377,24.71588263,33.13056421,17.24428766
골든 리트리버,24,18,60,37,60,35,61.4616807,38.21171108,50.73460453,28.01647293
골든 리트리버,24,26,82,51,68,40,68.28119682,42.92470489,56.97738775,31.88069443
골든 리트리버,24,5,38,27,31,17,40.01470818,25.66814625,30.88675753,17.97803437
래브라도 리트리버,24,21,65,44,50,20,65.18066818,40.94501039,50.55325181,29.65301993
말티즈,24,2,34,16,27,13,29.58592392,19.5555782,24.59865188,12.16875274
말티즈,24,3.8,39,27.5,27,19,36.95333813,23.71471183,30.75965727,14.92243831
말티즈,24,2.5,32.5,20,28.5,10,31.80935694,20.87254033,27.05108524,13.22073877
말티즈,24,3.2,35,24,25,12,34.62578599,22.34767456,29.50278222,14.33436827
말티즈,24,2.24,33,23,22,12,31.18461408,20.02454254,26.15950041,12.28847711
말티즈,24,2.8,33,20,26,17,33.10516551,21.19306468,28.15552019,13.48599994
말티즈,24,4.6,38,26,32,15,39.39329327,25.28562633,33.32832675,15.9607103
말티즈,24,2.8,33,21,24,16,33.88034681,21.24898165,27.91567239,13.39051485
말티즈,24,3.2,35,23,25,15,35.06753772,22.19703896,29.66102265,14.2516323
말티즈,24,8,50,29,37,12,47.09022548,30.51028893,39.55080317,19.68390571
말티즈,24,2.3,35,20,24,15,30.91983192,20.18613298,26.14532913,13.30839477
말티즈,24,3,38,30,27,15,33.89735606,22.10171374,28.50492052,14.44549697
말티즈,24,3,32.5,21.3,22,15.3,34.00987556,21.96907486,28.30793643,13.74176629
말티즈,24,5,40,28,28,15,40.09458785,26.05194224,34.41943469,16.55095057
말티즈,24,5.7,42,24,35,19,42.42024667,27.36239146,35.87246789,17.04114006
말티즈,24,4,35,24,32,15,37.89663101,24.14112134,31.31556161,15.5323133
말티즈,24,4,38,24,32,15,37.35013691,24.35697745,31.12712688,15.8606572
말티즈,24,4,35,24,24,16,38.13655838,24.67198446,31.60647054,15.16031536
말티즈,24,4.2,43,24,34,14,38.69885115,25.07646157,31.99009935,15.474872
말티즈,24,3.1,28,23,28,12.5,34.15923922,22.53147533,28.77322848,14.29311648
말티즈,24,2.8,34,20,27,14,33.29205869,21.76036031,27.74149877,13.40961756
말티즈,24,3.5,36,24,32,15,35.82768925,22.95934449,30.45152354,14.91129855
말티즈,24,2.3,34,18,27,14,30.97765994,20.09018335,26.30003832,13.11118163
말티즈,24,2,34,17,20,10,29.96114053,18.93530957,25.03633996,12.37314969
말티즈,24,2,30,20,22,18,29.66900462,19.03801607,25.24043877,11.75110114
말티즈,24,3.9,34,21,28,15,37.15561119,24.41791022,31.18250761,14.85064359
말티즈,24,3.7,36,23,28,18,36.84081554,23.54931238,30.81985855,15.25622952
말티즈,24,2.8,33,21,26,17,33.76008109,21.90826427,28.34852945,13.34634102
말티즈,24,1.9,32,19,22,11,29.42493377,19.40046844,25.14319916,11.75322781
말티즈,24,5.2,40,25,30,18,41.15910747,26.97135384,34.70329596,16.48856164
말티즈,24,4,30,25,35,13,37.79010619,24.47126672,31.86711804,15.35309208
믹스 소형견,24,10,53,35,47.5,22.5,51.08425746,33.03076445,43.173295,23.4021433
믹스 소형견,24,4.4,35,30,33,15,38.56834758,24.80761324,33.157577,17.32130596
믹스 소형견,24,7.6,48,27,34,25,46.59268212,29.43581914,38.89326341,20.626184
믹스 소형견,24,5,38,31,36,16,41.15788685,25.88475328,33.99242674,18.38432341
믹스 소형견,24,4.9,42,25,36,20,40.93476974,25.84286114,33.64176001,17.99669593
믹스 소형견,24,15,60,40,50,23,59.24693576,37.45145636,48.80198919,26.23222987
믹스 소형견,24,4.5,42,25,36,18,39.55339122,24.63042445,32.90712757,17.72212289
믹스 소형견,24,15,65,40,54,20,58.73939028,37.48436924,48.99074554,26.71116607
믹스 소형견,24,4,40,22,29,18,38.28880863,23.9712405,31.38858744,16.85294864
믹스 소형견,24,3.3,35,22,40,22,35.49195966,22.37383918,29.65752891,16.43931023
믹스 소형견,24,4.6,43,30,35,14,39.62975575,25.00863197,33.59898161,17.89297742
믹스 소형견,24,4.5,38,22,30,15,39.68638356,24.66455026,33.41364665,17.24826818
믹스 소형견,24,8.6,53,33,60,20,48.67979218,30.77296306,40.83701791,22.04984543
믹스 소형견,24,11.6,59,37,43,22,54.15048816,34.23709816,45.54754137,24.60117633
믹스 소형견,24,14.2,56,36,57,22,57.2865507,36.52249785,48.21583864,25.83068978
믹스 소형견,24,4.6,37,24,36,22,39.60557173,25.54841188,33.34626202,17.82013463
믹스 소형견,24,4.3,33,23,36,27,38.84945529,24.33278835,32.90475907,17.14899496
믹스 소형견,24,9.5,45,30,40,35,50.08363614,32.20891163,41.74993376,22.36853367
